CASEID	COMPLETE	SCHL_ID	SCHL_PSU	DIST_ID	DIVISION	SCHL_WT	DIST_WT	A1	A1B_G6	A1B_G7	A1B_G8	A1B_G9	A1B_G10	A2	A3	A4A	A4B	A4C	A4D	A4E	A4F	A4G	A4H	A4I	A5	A6A	A6B	A6C	A7	A8A	A8B	A8C	A9	A10A_CAT	A10B_CAT	A10C_CAT	A10A_COMP	A10B_COMP	A10AB_COMP	A11A_CAT	A11B_CAT	A11C_CAT	A11A_COMP	A11B_COMP	A11AB_COMP	A12	A13A	A13B	A13C	A13D	A14A	A14B	A14C	A14D	A15	A16A	A16B	A16C	A16D	A16E	A16F	A16G	A16H	A16I	A17	A18	A19	A20A	A20B	A20C	A20D	A21A	A21B	A21C	A22	A23	A24_G6	A24_G7	A24_G8	A24_G9	A24_G10	A25A	A25B	A25C	A25D	A25E	A25F	A25G	A25H	A25I	A25J	A25K	A25L	A25M	A25N	A25O	A25P	A26
215	1	160	5	9114	8	731.953736269899	30.0981120356936	2	2	6	6	6	-9	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	2	2	1	2	2	2	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-8	-8	-8	-8	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-8	-9	-9	-9	-9	-9	-9	-9	-9	-9	-8	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
216	1	197	4	7088	9	189.901617021696	23.6725880408028	2	-9	6	6	6	-9	2	2	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	9	4	4	5	3	5	4	1	1	6	5	6	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	1	1	2	1	1	2	2	2	1	2	2	1	2	5	-9	1	6	1	-9	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	4
217	1	175	5	2083	4	1639.34306948846	60.2531840431242	2	-9	-9	-9	3	3	2	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	-9	2	4	3	4	2	2	3	4	3	4	3	3	4	2	2	2	2	1	1	1	2	1	2	2	1	2	1	1	1	1	1	2	2	5	1	2	2	2	1	2	2	1	2	5	-9	-9	-9	3	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	4
218	1	57	4	3529	7	139.919129424765	24.8835769530923	2	-9	-9	-9	3	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	5	4	9	1	1	1	3	3	6	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	2	2	5	1	1	1	1	1	-9	-9	1	2	5	-9	-9	-9	1	2	2	2	2	2	1	2	2	1	1	1	2	2	2	2	2	1	2
219	1	166	4	3538	7	47.3396694214876	1	2	-9	-9	-9	6	6	2	2	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	9	6	-9	-9	-9	-9	9	6	-9	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	5	1	1	2	2	1	2	2	1	2	5	-9	-9	-9	3	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
220	1	125	5	4504	2	189.006418319603	13.8074354940784	2	4	4	4	-9	-9	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	3	5	3	1	3	2	1	2	4	2	4	2	2	2	2	2	2	1	1	1	2	2	2	2	1	2	1	1	1	2	2	5	2	2	2	2	1	2	2	1	2	5	2	2	2	-9	-9	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1
221	0	53	6	9118	8	142.882958206035	18.743882119076	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
222	1	10	5	3200	7	130.498316736515	7.92738902238101	2	4	4	4	-9	-9	2	2	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	2	2	1	7	5	9	2	1	2	7	5	6	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	2	2	3	1	1	2	2	1	2	1	-9	2	5	3	3	3	-9	-9	2	2	1	2	2	2	2	2	1	1	2	2	2	1	2	1	1
223	1	205	5	6221	1	236.289824299855	34.3821127724378	2	-9	-9	-9	4	-9	2	2	2	2	2	2	1	1	2	1	1	2	2	2	2	2	2	2	1	1	7	4	9	1	1	2	3	1	4	3	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	1	2	2	1	2	2	1	2	5	-9	-9	-9	3	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
224	1	3	2	5535	5	155.078803174863	5.54881752737777	2	6	6	6	-9	-9	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	2	5	2	2	2	2	1	2	2	1	2	5	-9	-9	-9	-9	-9	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	4
225	1	211	5	7389	9	228.223	1.1613	2	6	6	6	-9	-9	2	2	2	-9	2	2	-9	2	2	2	2	2	2	2	1	2	2	2	1	1	5	4	9	1	1	1	3	4	4	3	5	4	2	2	2	2	2	1	1	1	1	2	2	2	2	1	2	1	1	1	2	2	5	1	2	2	2	1	2	2	-9	2	5	3	3	3	-9	-9	-9	-9	-9	-9	-9	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
226	0	121	4	5553	5	169.643265692614	9.38315266880143	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
227	1	28	6	4282	2	62.9714869394735	6.1768952445046	2	-9	-9	-9	6	6	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	5	4	9	1	1	1	4	3	0	-9	-9	-9	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	2	2	5	1	2	2	2	1	2	2	1	2	5	-9	-9	-9	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
