CASEID	COMPLETE	SCHL_ID	SCHL_PSU	DIST_ID	DIVISION	SCHL_WT	DIST_WT	A1	A1B_G6	A1B_G7	A1B_G8	A1B_G9	A1B_G10	A2	A3	A4A	A4B	A4C	A4D	A4E	A4F	A4G	A4H	A4I	A5	A6A	A6B	A6C	A7	A8A	A8B	A8C	A9	A10A_CAT	A10B_CAT	A10C_CAT	A10A_COMP	A10B_COMP	A10AB_COMP	A11A_CAT	A11B_CAT	A11C_CAT	A11A_COMP	A11B_COMP	A11AB_COMP	A12	A13A	A13B	A13C	A13D	A14A	A14B	A14C	A14D	A15	A16A	A16B	A16C	A16D	A16E	A16F	A16G	A16H	A16I	A17	A18	A19	A20A	A20B	A20C	A20D	A21A	A21B	A21C	A22	A23	A24_G6	A24_G7	A24_G8	A24_G9	A24_G10	A25A	A25B	A25C	A25D	A25E	A25F	A25G	A25H	A25I	A25J	A25K	A25L	A25M	A25N	A25O	A25P	A26
139	0	20	1	9237	8	61.9296311973396	1.41272522063886	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
140	1	173	5	5118	5	297.200972251037	102.069020773084	2	-9	-9	-9	3	1	1	2	2	2	2	2	1	1	2	2	2	2	1	2	1	2	1	2	1	1	8	0	0	-9	-9	-9	6	0	0	-9	-9	-9	2	2	2	2	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	-9	-9	1	2	5	-9	-9	-9	2	1	1	2	1	2	2	2	2	1	1	1	2	2	2	2	2	1	2
141	1	26	5	6040	1	1334.60861565013	79.6215367291272	2	6	6	6	-9	-9	2	2	2	2	2	2	1	1	2	1	2	2	1	2	1	2	1	2	1	1	9	4	3	6	4	6	4	0	0	-9	-9	-9	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	1	1	1	2	5	2	1	1	2	1	2	1	1	2	5	-9	-9	-9	-9	-9	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	1	4
142	1	37	4	3200	7	121.064691975758	7.92738902238101	2	2	4	4	-9	-9	1	2	2	2	1	1	2	1	2	2	2	2	1	2	2	2	1	2	2	1	7	4	7	3	1	3	3	1	2	5	2	5	2	2	2	2	2	2	1	1	2	2	2	2	2	1	2	1	1	1	2	2	2	1	1	2	2	1	2	1	-9	2	5	2	4	4	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
143	1	150	5	9084	8	1289.23530490096	34.1921188785444	2	6	6	6	-9	-9	1	2	1	1	1	2	2	2	1	2	1	2	2	2	1	2	2	2	1	1	9	5	7	4	2	4	9	5	6	4	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	4	1	1	2	2	1	2	2	1	2	3	4	4	4	-9	-9	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1
144	1	178	4	5136	5	268.771105118423	72.540772759003	2	-9	-9	-9	-9	6	2	2	2	2	2	2	1	1	2	2	2	2	1	2	1	2	2	2	1	1	8	4	8	2	1	3	6	3	3	5	4	5	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	2	1	2	1	-8	2	1	1	1	1	-9	-9	2	2	5	-9	-9	-9	-9	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
145	1	186	5	1068	6	58.0073944366315	13.8086302874614	2	-9	-9	-9	4	4	2	2	1	1	2	2	2	1	2	2	2	2	-9	-9	-9	2	-9	-9	-9	-9	4	5	4	2	4	3	3	4	4	2	4	3	2	2	2	2	2	2	1	1	1	2	2	2	2	1	1	1	1	1	2	2	5	1	1	1	1	1	-9	-9	1	2	5	-9	-9	-9	4	4	1	2	1	2	2	2	2	1	1	1	2	1	2	2	2	2	2
146	1	103	5	4105	2	584.780271515953	77.9707028687938	2	3	-9	-9	-9	-9	1	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	1	2	1	2	1	2	1	1	3	3	7	1	1	1	2	1	2	3	2	4	2	2	2	2	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	2	5	1	1	2	2	1	2	2	1	2	5	2	-9	-9	-9	-9	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	4
147	1	195	6	6100	1	124.890294593329	6.83955611135428	2	-9	-9	-9	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1	1	0	0	8	0	0	0	0	0	3	0	0	0	2	2	2	2	2	1	1	1	1	2	2	2	2	1	2	2	1	1	1	1	-8	1	2	1	1	1	2	2	1	2	5	-9	-9	-9	3	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	4
148	0	179	5	3538	7	355.863656038256	33.6369513763335	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
